poll_id,answer,pollscore,sample_size,pct,stage,transparency_score,numeric_grade,end_date,ranked_choice_reallocated
1,Harris,-0.3,2837,44.2415582947433,general,3,1.9,2024-07-16,FALSE
2,DeSantis,-0.3,2788,41.343525941483676,general,3,1.9,2024-02-13,FALSE
3,Trump,-0.3,672,57.131528900936246,general,3,1.9,2024-03-18,FALSE
4,Kennedy,-0.3,843,53.683743979781866,general,3,1.9,2024-04-30,FALSE
5,Harris,-0.3,2422,55.64140592236072,general,3,1.9,2024-03-29,FALSE
6,Kennedy,-0.3,1764,52.944191112183034,general,3,1.9,2024-05-18,FALSE
7,West,-0.3,722,45.6058808369562,general,3,1.9,2024-09-20,TRUE
8,Kennedy,-0.3,1377,46.80145022459328,general,3,1.9,2024-02-03,FALSE
9,Trump,-0.3,1214,40.962538863532245,general,3,1.9,2024-05-18,FALSE
10,Oliver,-0.3,2147,56.06909648049623,general,3,1.9,2024-02-27,FALSE
11,Stein,-0.3,1332,42.0965604390949,general,3,1.9,2024-05-19,TRUE
12,Stein,-0.3,1385,52.655837861821055,general,3,1.9,2024-02-26,TRUE
13,Harris,-0.3,2726,48.83957543410361,general,3,1.9,2024-03-12,FALSE
14,Stein,-0.3,903,58.41441750526428,general,3,1.9,2024-04-28,FALSE
15,West,-0.3,588,42.523533925414085,general,3,1.9,2024-06-08,FALSE
16,Stein,-0.3,1938,40.281997793354094,general,3,1.9,2024-08-31,FALSE
17,West,-0.3,1821,57.29500516783446,general,3,1.9,2024-10-28,FALSE
18,Stein,-0.3,2679,56.013459376990795,general,3,1.9,2024-04-27,FALSE
19,Trump,-0.3,1978,57.037221253849566,general,3,1.9,2024-09-28,FALSE
20,Kennedy,-0.3,802,51.678499416448176,general,3,1.9,2024-02-03,FALSE
21,Trump,-0.3,647,46.732089151628315,general,3,1.9,2024-05-01,FALSE
22,Oliver,-0.3,1871,51.35406465269625,general,3,1.9,2024-01-02,FALSE
23,Kennedy,-0.3,1981,42.66682416666299,general,3,1.9,2024-07-23,FALSE
24,Oliver,-0.3,2429,48.073350954800844,general,3,1.9,2024-08-04,FALSE
25,DeSantis,-0.3,2904,58.022125009447336,general,3,1.9,2024-04-14,FALSE
26,DeSantis,-0.3,2745,50.96965015400201,general,3,1.9,2024-09-27,FALSE
27,Trump,-0.3,1702,42.41265778429806,general,3,1.9,2024-08-02,FALSE
28,Kennedy,-0.3,623,57.800758448429406,general,3,1.9,2024-09-11,FALSE
29,Trump,-0.3,665,56.1523280153051,general,3,1.9,2024-03-06,FALSE
30,Harris,-0.3,534,42.36776498146355,general,3,1.9,2024-02-07,FALSE
31,Harris,-0.3,1257,40.87736718356609,general,3,1.9,2024-02-22,FALSE
32,Oliver,-0.3,507,43.59432203695178,general,3,1.9,2024-10-26,FALSE
33,West,-0.3,822,54.223699984140694,general,3,1.9,2024-01-18,FALSE
34,Biden,-0.3,2131,51.072999043390155,general,3,1.9,2024-02-08,FALSE
35,Kennedy,-0.3,612,48.330810200423,general,3,1.9,2024-03-25,FALSE
