"pollscore","pct","pollster","answer","end_date","sample_size","transparency_score"
0,55,"PPP","Harris","10/17/24",571,4
0,40,"PPP","Trump","10/17/24",571,4
0,53,"PPP","Harris","10/17/24",716,4
0,41,"PPP","Trump","10/17/24",716,4
-0.4,49,"TIPP","Harris","10/17/24",1257,3
-0.4,47,"TIPP","Trump","10/17/24",1257,3
-0.4,47,"RMG Research","Harris","10/17/24",788,5
-0.4,52,"RMG Research","Trump","10/17/24",788,5
-0.4,49,"TIPP","Harris","10/16/24",1228,3
-0.4,46,"TIPP","Trump","10/16/24",1228,3
-1.1,49.5,"Emerson","Harris","10/16/24",1000,7
-1.1,49.2,"Emerson","Trump","10/16/24",1000,7
0.2,45,"OnMessage Inc.","Harris","10/16/24",800,1
0.2,46,"OnMessage Inc.","Trump","10/16/24",800,1
-0.4,50,"RMG Research","Harris","10/16/24",2950,5
-0.4,49,"RMG Research","Trump","10/16/24",2950,5
-0.4,48.8,"TIPP","Harris","10/16/24",1029,3
-0.4,45.8,"TIPP","Trump","10/16/24",1029,3
-0.4,48.3,"TIPP","Harris","10/16/24",813,3
-0.4,48.5,"TIPP","Trump","10/16/24",813,3
-0.4,48.3,"TIPP","Harris","10/16/24",1029,3
-0.4,44.8,"TIPP","Trump","10/16/24",1029,3
-0.4,1,"TIPP","West","10/16/24",1029,3
-0.4,1,"TIPP","Stein","10/16/24",1029,3
-0.4,49,"TIPP","Harris","10/16/24",813,3
-0.4,48.5,"TIPP","Trump","10/16/24",813,3
-0.4,0.5,"TIPP","West","10/16/24",813,3
-0.4,0.8,"TIPP","Stein","10/16/24",813,3
-1.1,48,"YouGov","Harris","10/16/24",1435,9
-1.1,51,"YouGov","Trump","10/16/24",1435,9
-0.4,49,"RMG Research","Harris","10/16/24",787,5
-0.4,50,"RMG Research","Trump","10/16/24",787,5
-0.4,49,"RMG Research","Harris","10/16/24",789,5
-0.4,49,"RMG Research","Trump","10/16/24",789,5
-0.3,47,"InsiderAdvantage","Harris","10/15/24",800,5
-0.3,49,"InsiderAdvantage","Trump","10/15/24",800,5
-0.4,50,"TIPP","Harris","10/15/24",1248,3
-0.4,46,"TIPP","Trump","10/15/24",1248,3
-1.1,48,"YouGov","Harris","10/15/24",1457,9
-1.1,45,"YouGov","Trump","10/15/24",1457,9
-1.1,1,"YouGov","Stein","10/15/24",1457,9
-1.1,1,"YouGov","West","10/15/24",1457,9
-1.1,49,"YouGov","Harris","10/15/24",1314,9
-1.1,45,"YouGov","Trump","10/15/24",1314,9
-1.1,1,"YouGov","Stein","10/15/24",1314,9
-1.1,0,"YouGov","West","10/15/24",1314,9
-0.3,49,"Morning Consult","Harris","10/15/24",653,3
-0.3,48,"Morning Consult","Trump","10/15/24",653,3
-0.3,48,"Morning Consult","Harris","10/15/24",1002,3
-0.3,49,"Morning Consult","Trump","10/15/24",1002,3
-0.3,64,"Morning Consult","Harris","10/15/24",490,3
-0.3,31,"Morning Consult","Trump","10/15/24",490,3
-0.3,49,"Morning Consult","Harris","10/15/24",1065,3
-0.3,47,"Morning Consult","Trump","10/15/24",1065,3
-0.3,49,"Morning Consult","Harris","10/15/24",496,3
-0.3,45,"Morning Consult","Trump","10/15/24",496,3
-0.3,48,"Morning Consult","Harris","10/15/24",1072,3
-0.3,49,"Morning Consult","Trump","10/15/24",1072,3
-0.3,45,"Morning Consult","Harris","10/15/24",1243,3
-0.3,52,"Morning Consult","Trump","10/15/24",1243,3
-0.3,49,"Morning Consult","Harris","10/15/24",1395,3
-0.3,48,"Morning Consult","Trump","10/15/24",1395,3
-0.3,46,"Morning Consult","Harris","10/15/24",2048,3
-0.3,50,"Morning Consult","Trump","10/15/24",2048,3
-0.3,47,"Morning Consult","Harris","10/15/24",527,3
-0.3,48,"Morning Consult","Trump","10/15/24",527,3
-0.2,47,"Mitchell","Harris","10/14/24",589,7
-0.2,47,"Mitchell","Trump","10/14/24",589,7
-0.2,1,"Mitchell","Stein","10/14/24",589,7
-0.2,1,"Mitchell","Oliver","10/14/24",589,7
-0.2,0,"Mitchell","Kennedy","10/14/24",589,7
-0.2,0,"Mitchell","West","10/14/24",589,7
-0.2,47.4,"Mitchell","Harris","10/14/24",589,7
-0.2,48.5,"Mitchell","Trump","10/14/24",589,7
-0.4,49,"TIPP","Harris","10/14/24",1198,3
-0.4,46,"TIPP","Trump","10/14/24",1198,3
0.6,49,"Patriot Polling","Harris","10/14/24",803,5
0.6,50,"Patriot Polling","Trump","10/14/24",803,5
-1.1,61,"Emerson","Harris","10/14/24",1000,7
-1.1,36.6,"Emerson","Trump","10/14/24",1000,7
0.4,46,"Redfield & Wilton Strategies","Harris","10/14/24",620,9
0.4,48,"Redfield & Wilton Strategies","Trump","10/14/24",620,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",620,9
0.4,0,"Redfield & Wilton Strategies","Stein","10/14/24",620,9
0.4,46,"Redfield & Wilton Strategies","Harris","10/14/24",1141,9
0.4,48,"Redfield & Wilton Strategies","Trump","10/14/24",1141,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",1141,9
0.4,1,"Redfield & Wilton Strategies","Stein","10/14/24",1141,9
